Game,ReleaseDate,Genre,TotalEarnings,OnlineEarnings,TotalPlayers,TotalTournaments
,2020,Battle Royale,284273.83,0,240,5
,2017,Sports,279676.62,20676.62,40,3
,2018,First-Person Shooter,263000,0,47,9
,2013,First-Person Shooter,262090.69,258286.5,108,43
,2004,First-Person Shooter,257748.16,257748.16,14,4
,2006,Third-Person Shooter,252195.57,252195.57,33,18
,2017,Sports,250000,250000,20,3
,2020,First-Person Shooter,248000,0,83,10
,2008,Fighting Game,246715.83,246715.83,499,344
,2013,First-Person Shooter,245766.46,212540.31,204,145
,2006,Sports,237812.23,237812.23,42,13
,2013,Fighting Game,224466.96,224416.96,128,53
,2007,Racing,222000,222000,17,2
,2019,Sports,216000,216000,25,2
,2017,Strategy,211500,211500,170,24
,2007,Sports,207129.94,207129.94,68,17
,2010,Fighting Game,205292.09,205292.09,560,335
,2019,Racing,200500,0,34,5
,2018,Racing,2.00E+05,2.00E+05,21,1
,2017,First-Person Shooter,198750,190000,8,21
,2013,Racing,198680.08,107640.31,347,283
,1997,Strategy,190075.61,156839.89,246,95
,2018,First-Person Shooter,185654.67,129863.88,114,21
,2005,First-Person Shooter,178000,178000,20,5
,2006,First-Person Shooter,176400.77,176400.77,137,7
,2015,Racing,172600,170200,43,9
,2015,Third-Person Shooter,170000,170000,39,3
,2008,Racing,167386.65,146554.75,109,73
,2004,First-Person Shooter,162150.6,162150.6,111,3
,2020,First-Person Shooter,158210.64,15642.09,256,96
,2013,Racing,156963.7,74108.7,145,21
,2000,Strategy,148384.33,148384.33,19,3
,2002,First-Person Shooter,147473.91,147473.91,33,14
,2014,Sports,144373.99,116439.15,168,352
,2013,First-Person Shooter,143490,143490,0,1
,2003,First-Person Shooter,140963.24,138376.87,152,18
,1997,First-Person Shooter,140179.5,139800,32,10
,2011,Fighting Game,136891.67,136891.67,67,26
,2008,Third-Person Shooter,135000,135000,0,5
,2004,First-Person Shooter,133969.33,133969.33,41,12
,2013,First-Person Shooter,132532.93,116555.81,82,21
,2015,First-Person Shooter,131509.05,126054.1,110,33
,2004,First-Person Shooter,130250,130250,0,3
,2016,Fighting Game,129203.79,129203.79,50,17
,2011,Fighting Game,125965.7,125965.7,142,138
,2018,Sports,125000,125000,5,3
,2008,Sports,121618.34,115321.42,52,19
,2018,Battle Royale,120000,0,12,2
,2007,Fighting Game,119874.64,119874.64,59,30
,2018,Collectible Card Game,119178.54,11635.81,276,167
,2020,Collectible Card Game,118481.03,0,30,5
,2015,Sports,117828.11,116883.94,61,28
,2009,Sports,117026.71,90147.21,64,48
,2017,Fighting Game,116749.7,116554.7,104,50
,2011,Fighting Game,116733.16,116733.16,190,169
,2020,First-Person Shooter,114600,0,150,4
,2009,First-Person Shooter,112860.64,51010.64,59,18
,2005,Sports,112464.53,112464.53,23,12
,2018,Fighting Game,109895.21,94795.21,101,49
,2013,First-Person Shooter,109555,109555,32,2
,2013,Fighting Game,108650,0,21,15
,2007,First-Person Shooter,104977.82,104977.82,7,4
,1996,First-Person Shooter,103251.7,98005.44,47,15
,2017,Sports,102700,90000,20,6
,2008,Fighting Game,100260,100260,4,3
,2016,Strategy,1.00E+05,0,67,4
,2015,First-Person Shooter,1.00E+05,1.00E+05,20,1
,2018,Multiplayer Online Battle Arena,1.00E+05,0,8,1
,2005,Sports,1.00E+05,1.00E+05,1,1
,2006,Sports,1.00E+05,1.00E+05,1,1
,2007,Sports,1.00E+05,1.00E+05,1,1
,2008,Sports,1.00E+05,1.00E+05,1,1
,2020,Battle Royale,1.00E+05,0,24,3
,2013,Sports,96347.81,87377.48,57,69
,2018,Strategy,94950,86250,51,10
,2017,Collectible Card Game,94434.2,72500,48,36
,2010,Sports,93983.77,85154.02,72,78
,2006,Racing,93381.66,53381.66,18,8
,2005,First-Person Shooter,91715.22,91715.22,0,12
,1999,First-Person Shooter,89000,89000,14,5
,2012,Fighting Game,84090.64,83229.34,115,93
,2018,Fighting Game,82800.03,82800.03,89,31
,2005,Strategy,79816.5,79816.5,7,3
,2008,First-Person Shooter,79000,79000,0,8
,2015,Fighting Game,78879.26,78582.42,86,38
,2016,Fighting Game,77016.66,76971.66,62,25
,2016,First-Person Shooter,76200,76200,3,1
,2016,Fighting Game,72902.09,72042.09,90,37
,2012,Sports,70000,70000,1,1
,2018,Battle Royale,70000,0,9,4
,2006,Strategy,69600,69600,8,1
,2005,Strategy,68113.85,41500,106,76
,1999,Fighting Game,68082.81,68042.81,234,123
,2019,Fighting Game,68009.91,68009.91,58,15
,2015,Racing,67968.71,10602.71,50,114
,2001,First-Person Shooter,67424.3,67424.3,30,3
,2020,Racing,67266.66,0,123,84
,2005,First-Person Shooter,66828.51,60874.71,41,17
,2017,Racing,66150,58150,37,22
,2018,Strategy,66000,0,10,6
,2016,Multiplayer Online Battle Arena,65173.45,28000,86,75
,2019,Fighting Game,64332.54,63222.54,64,19
,2016,Strategy,63330,60000,14,6
,2007,First-Person Shooter,60923.12,60923.12,27,4
